,Address,Label
0,1DW5JCo3B9NpAgYfyB2bdEpF4V4BpEbwzP,Light Exchange
1,3QfVG9ncA5mRijBVU1KPMVE3D168z7ecCL,Light Exchange
2,1BcFChDv5M2NM5obWNcLMif52ic2xaRjZB,Light Exchange
3,1162aFmZ1SPfUpwYc2wnJVZSxp5pGy3LPS,Other
4,1Deavk6rGzR4epvJxPE9eT8uEY274Fx1A4,Light Exchange
5,1Chkarus7jcKYr4LgqcAAnAkt6YhiSZSoB,Other
6,3CGrUbwDn7sNyXWGGE45HWGvDDohx4mbgH,Other
7,3AbNwvXtTdVbaz78szw1b55edpj1U164xC,Light Exchange
8,1DCagvt2bsqhSeEQHrZA9ydvnaDoABwfrW,Other
9,1BXyLsuTUjzje8JEUZcSUZJti4YNqnT5cf,Light Exchange
10,12a1EBs8bFuSC9FCi7GNcaNLebgQrxdq8d,Light Exchange
11,13wAcr2wXMFJLRF6CtGZNehphs24d7TrxD,Other
12,3GMYbfxYEJTpeQPaMkQCndYo2iNfaLDZad,Light Exchange
13,32VTZm9W1qwpMnuMFcv8GSzBpykhzwW7V3,Other
14,3N37qYgcTwytKQ4sHkd4e2HKapigjcQU4u,Other
15,31qWN6F4HhAgekeitsc6H93CmSyPQqBZTD,Other
16,1EVzaFkkNNXq6RJh2oywwJMn8JPiq8ikDi,Light Exchange
17,3ACMnt2ZqbuXiBhzN3VBuCRSMBa3FrNKLF,Other
18,1PgSE5JoPvon5uwMcQLtDY5xiFoRCaHpdG,Other
19,12fpWFMwgjvL5zgd51j1zreLtpEuSmJa86,Other
20,19ve3JWXnvMCeFaKoWpXQ8mHJxT5DHyHU2,Main Exhange
21,3NBERhLYgYbpwbUifFkKwuPiabg3MpuPzA,Other
22,3MGEjrgzyXePDvZV8F69r356DAQNSFfb86,Other
23,1F3Kqq6mvAaMspsHBrd4WzQAcoPPRh38Ri,Light Exchange
24,3BMEXMnbEmo6vSn4GgHxSq6rhv54dWqAnk,Light Exchange
25,1H82cMM9dzeUmuDfp5GmG6msLAdKfN7uZ7,Other
26,3JNoK7k3zt9SBnw6iniWz4R1VLKCyZUURs,Light Exchange
27,1CuuSAtPqhA5PKfcgsB3zw9t1L7iKjqsBo,Other
28,393Cc5uak73qbtcqTDPh9wkRYFVx6DZtp5,Light Exchange
29,33CUNVxgqwEmc7WMpMg1JvpbpPJGhMvrP5,Other
30,39XF9YVyFfGHnsD34tK3GjwL79EheimWWy,Other
31,33WNcST9Q53darvjm9q4368xKVrG5njw48,Light Exchange
32,17VpBNPF6nfSAnfE2MbNsynQUX7T6TT6QU,Other
33,3Gcfsh2jjdncVSxn2Wup8BBTETz2KBePUe,Other
34,1ERbts3AahdCSeVosNR89xc5Wss3Cd7VSQ,Light Exchange
35,1EvkqTA7DsYeftaBqRLtMwaqVnwj9faRnw,Other
36,1E5C3Ju3ZTiYUn6jzX6YM1CnYeDuCW6Fe3,Other
37,1Ga9qebk9mb4MgTg8cFbJ9eUTYmq5Jiiun,Light Exchange
38,3JzZ8NSKACJwsw1tkmRo6JFEgPnNSfqKsm,Other
39,3QehEc9kj4DgKrP1fYAccLg9RgAKAK6XuX,Other
40,1PVZJnNWVbKbukcWDNsWFXkM7o241NX2Ld,Light Exchange
41,3MudVujtUvArcvgqca8k2BtGcR4rQuJ2VV,Other
42,3F5rsm6NNNXsMBjLq9J3fd5MN5zWMVHjkY,Other
43,3GUkiEsVwjqgxu34s2ic7kwZf8vCSC5Pck,Light Exchange
44,33bEYhASee8UhJrdprWS7orzZT2i8eNEug,Main Exhange
45,33gcmUg1kFqWartuksRPxX68QCwd8FV1tk,Other
46,15rhdhBNnzo2QhMxA1vwE7VU31nUE1sLgr,Light Exchange
47,12BQeiDA4ZdMKzx17HzirfvqBeFd6PnhyR,Light Exchange
48,14cQRmViAzVKa277gZznByGZtnrVPQc8Lr,Main Exhange
49,358UMkgf4FzQkBGxVVMQVEqJf1XSNob9ZC,Other
50,3BMEXAcuWekPzebQF5oYJwd3cnegv6kWos,Other
51,1Lsrd7ByCD752LKFCLBmpUq8rKrKhDh8GJ,Other
52,3BMEXWpv4RJ3dJqRpXCDAU5FbTsTqSKSRZ,Other
53,35fe2CM2zbMeSfhRjpjW8ikTJcZj8NooFD,Other
54,3JTLBhrzrXybqfs7PrvSBBM26216aSMwMh,Other
